stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000013807	9606.ENSP00000310520	ERCC1	ERCC4	9606	0.999	0	0	0	0.109	0.999	0.9	0.999
9606.ENSP00000013807	9606.ENSP00000364270	ERCC1	XPA	9606	0.999	0	0	0	0	0.931	0.54	0.999
9606.ENSP00000013807	9606.ENSP00000294008	ERCC1	SLX4	9606	0.999	0	0	0	0.086	0.899	0.5	0.997
9606.ENSP00000013807	9606.ENSP00000350708	ERCC1	RAD23B	9606	0.998	0	0	0	0	0	0.9	0.983
9606.ENSP00000013807	9606.ENSP00000307853	ERCC1	MUS81	9606	0.998	0	0	0	0.2	0.856	0.5	0.973
9606.ENSP00000013807	9606.ENSP00000498881	ERCC1	ERCC5	9606	0.997	0	0	0	0.062	0.271	0.9	0.973
9606.ENSP00000013807	9606.ENSP00000375809	ERCC1	ERCC2	9606	0.996	0	0	0	0.095	0	0.5	0.993
9606.ENSP00000013807	9606.ENSP00000285021	ERCC1	XPC	9606	0.994	0	0	0	0.049	0	0.9	0.944
9606.ENSP00000013807	9606.ENSP00000285398	ERCC1	ERCC3	9606	0.994	0	0	0	0.074	0	0.54	0.988
9606.ENSP00000013807	9606.ENSP00000251303	ERCC1	SLX1A	9606	0.994	0	0	0	0.107	0.499	0.5	0.979
9606.ENSP00000013807	9606.ENSP00000233146	ERCC1	MSH2	9606	0.992	0	0	0	0	0.607	0.9	0.816
9606.ENSP00000013807	9606.ENSP00000375978	ERCC1	XRCC5	9606	0.982	0	0	0	0.049	0	0.9	0.831
9606.ENSP00000013807	9606.ENSP00000265038	ERCC1	ERCC8	9606	0.977	0	0	0	0.049	0	0.9	0.785
9606.ENSP00000013807	9606.ENSP00000278616	ERCC1	ATM	9606	0.975	0	0	0	0	0	0.9	0.769
9606.ENSP00000013807	9606.ENSP00000351284	ERCC1	RAD52	9606	0.974	0	0	0	0	0.396	0.4	0.935
9606.ENSP00000013807	9606.ENSP00000234420	ERCC1	MSH6	9606	0.974	0	0	0	0.049	0.181	0.9	0.708
9606.ENSP00000013807	9606.ENSP00000352257	ERCC1	XRCC6	9606	0.972	0	0	0	0.06	0.088	0.9	0.72
9606.ENSP00000013807	9606.ENSP00000359300	ERCC1	CETN2	9606	0.971	0	0	0	0.067	0	0.9	0.721
9606.ENSP00000013807	9606.ENSP00000262887	ERCC1	XRCC1	9606	0.967	0	0	0	0.128	0	0.36	0.946
9606.ENSP00000013807	9606.ENSP00000484288	ERCC1	LIG4	9606	0.966	0	0	0	0	0	0.9	0.679
