preferredName_A,preferredName_B,score
ABCB1,TP53,0.569
ABCB1,EGFR,0.415
ABCB1,ERBB2,0.402
ABCB1,PTEN,0.412
ABCB1,BRCA1,0.414
TP53,EGFR,0.999
TP53,ERBB2,0.985
TP53,PIK3CA,0.925
TP53,PTEN,0.999
TP53,BRCA1,0.999
TP53,ATM,0.999
TP53,CDKN2A,0.999
TP53,APC,0.963
EGFR,ERBB2,0.999
EGFR,PIK3CA,0.999
EGFR,PTEN,0.995
EGFR,BRCA1,0.957
EGFR,ATM,0.941
EGFR,CDKN2A,0.984
EGFR,APC,0.686
ERBB2,PIK3CA,0.998
ERBB2,PTEN,0.965
ERBB2,BRCA1,0.941
ERBB2,ATM,0.923
ERBB2,CDKN2A,0.915
PIK3CA,PTEN,0.999
PIK3CA,BRCA1,0.932
PIK3CA,ATM,0.938
PIK3CA,CDKN2A,0.915
PIK3CA,APC,0.916
PTEN,BRCA1,0.965
PTEN,ATM,0.944
PTEN,CDKN2A,0.976
PTEN,APC,0.968
BRCA1,ATM,0.999
BRCA1,CDKN2A,0.975
ATM,CDKN2A,0.996
