exp_id,K,lr,weight_decay,dropout,threshold,max_epochs,final_epoch,train_loss,val_loss,overfit_gap,Q_overlap,avg_nodes_per_comm,min_nodes_per_comm,max_nodes_per_comm,overlap_rate,empty_communities,elapsed_time,status
1,8,0.001,0.001,0.2,600,3000,2900,0.10771676898002625,0.09406597167253494,-0.013650797307491302,0.10012917452872813,88.875,42,141,0.0016952532907857998,0,1009.431741,success
2,3,0.001,0.001,0.2,600,3000,3000,0.14702363312244415,0.13452064990997314,-0.012502983212471008,0.12836667956382927,5660.333333333333,5506,5801,0.43298763462305545,0,935.58521,success
3,5,0.001,0.001,0.2,600,3000,3000,0.12803864479064941,0.11408910155296326,-0.013949543237686157,0.11905716428512648,546.6,334,761,0.002493019545273235,0,792.658968,success
4,8,0.001,0.001,0.2,600,3000,2350,0.1089622750878334,0.09638843685388565,-0.012573838233947754,0.10147854891492282,83.875,37,149,0.0018946948544076585,0,572.149236,success
5,10,0.001,0.001,0.2,600,3000,1975,0.09646904468536377,0.0855407565832138,-0.010928288102149963,0.09587964714675892,60.0,25,92,0.0011966493817311527,0,454.661639,success
6,15,0.001,0.001,0.2,600,3000,2325,0.08828793466091156,0.07621210068464279,-0.012075833976268768,0.07670683483719636,35.733333333333334,7,75,0.0008974870362983646,0,555.925421,success
7,3,0.0001,0.001,0.2,600,3000,3000,0.1774381846189499,0.14663636684417725,-0.030801817774772644,0.11272487916859007,4913.666666666667,4471,5218,0.3237933785400878,0,644.677686,success
8,3,0.0005,0.001,0.2,600,3000,3000,0.1473255604505539,0.1360103189945221,-0.0113152414560318,0.1143107783378174,5530.333333333333,5304,5842,0.42181890706023134,0,632.742387,success
9,3,0.001,0.001,0.2,600,3000,3000,0.15220557153224945,0.1409488320350647,-0.011256739497184753,0.11294643428623549,5633.666666666667,5505,5783,0.42820103709613083,0,654.426044,success
10,3,0.005,0.001,0.2,600,3000,2350,0.17924632132053375,0.15065886080265045,-0.0285874605178833,0.13188956548127465,4818.666666666667,4332,5473,0.31790985241324293,0,565.883894,success
11,3,0.01,0.001,0.2,600,3000,2225,0.1942787766456604,0.15949365496635437,-0.03478512167930603,0.11262919560448037,4657.333333333333,4395,4810,0.29686876745113683,0,537.571543,success
12,3,0.005,0.0,0.2,600,3000,3000,0.13026633858680725,0.12643468379974365,-0.0038316547870635986,0.11895087113626192,6394.333333333333,6373,6409,0.5496609493418428,0,634.686758,success
13,3,0.005,0.0001,0.2,600,3000,2275,0.14958065748214722,0.13598698377609253,-0.013593673706054688,0.11406215701199393,5876.666666666667,5718,6031,0.47676505783805345,0,508.140908,success
14,3,0.005,0.001,0.2,600,3000,1950,0.1789734661579132,0.150590717792511,-0.02838274836540222,0.13082405276863743,5355.0,5253,5472,0.3930993218986837,0,435.330113,success
15,3,0.005,0.005,0.2,600,3000,1275,0.24549663066864014,0.20767323672771454,-0.0378233939409256,0.13978760983635277,4855.666666666667,4427,5251,0.3184084563222976,0,279.447199,success
16,3,0.005,0.01,0.2,600,3000,1325,0.2572866678237915,0.21162700653076172,-0.045659661293029785,0.11749610931782725,4896.333333333333,4811,4981,0.33336657359393695,0,297.399311,success
17,3,0.005,0.005,0.0,600,3000,1550,0.16229800879955292,0.14372509717941284,-0.018572911620140076,0.11260321104293233,5569.333333333333,5100,5869,0.4118468288791384,0,328.830875,success
18,3,0.005,0.005,0.1,600,3000,1350,0.18317092955112457,0.15254941582679749,-0.030621513724327087,0.13491201010922096,4775.333333333333,4471,4939,0.3066414040686079,0,308.281889,success
19,3,0.005,0.005,0.2,600,3000,1500,0.18805350363254547,0.15833142399787903,-0.029722079634666443,0.13574224492245984,4751.666666666667,4661,4839,0.300857598723574,0,324.621719,success
20,3,0.005,0.005,0.3,600,3000,2125,0.21709848940372467,0.16853372752666473,-0.048564761877059937,0.1369788740462838,4376.666666666667,3975,5141,0.2580773833266853,0,525.838734,success
21,3,0.005,0.005,0.5,600,3000,1275,0.24643635749816895,0.18201802670955658,-0.06441833078861237,0.1161545813873706,4397.0,4134,4666,0.2713402473075389,0,280.504264,success
22,3,0.005,0.005,0.3,400,3000,2700,0.2013186663389206,0.15969537198543549,-0.04162329435348511,0.09344370383521974,7788.333333333333,7606,7932,0.47094995759117897,0,1817.038153,success
23,3,0.005,0.005,0.3,500,3000,1025,0.200874462723732,0.16276492178440094,-0.038109540939331055,0.11367297946927755,5971.333333333333,5313,6648,0.38746557623299677,0,320.574132,success
24,3,0.005,0.005,0.3,600,3000,1200,0.21423661708831787,0.17461246252059937,-0.039624154567718506,0.13416155073921615,4479.0,4247,4778,0.27782209812524933,0,256.584451,success
25,3,0.005,0.005,0.3,700,3000,1650,0.22259582579135895,0.17901620268821716,-0.043579623103141785,0.13543232802619054,3434.3333333333335,3381,3467,0.24248447204968945,0,263.108746,success
26,3,0.005,0.005,0.3,900,3000,1700,0.2467084527015686,0.1961434930562973,-0.0505649596452713,0.17039523191130856,1919.0,1660,2191,0.12690556325480104,0,154.385548,success
