preferredName_A	preferredName_B	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	score
ABCB1	ERCC1	9606.ENSP00000478255	9606.ENSP00000013807	0	0	0	0	0	0	0	0.515	0.515
ABCB1	PALB2	9606.ENSP00000478255	9606.ENSP00000261584	0	0	0	0	0.055	0.297	0	0.231	0.444
ABCB1	CDH1	9606.ENSP00000478255	9606.ENSP00000261769	0	0	0	0	0	0.047	0	0.492	0.495
ABCB1	KDR	9606.ENSP00000478255	9606.ENSP00000263923	0	0	0	0	0.054	0	0	0.452	0.460
ABCB1	CDH2	9606.ENSP00000478255	9606.ENSP00000269141	0	0	0	0	0	0.047	0	0.412	0.415
ABCB1	TP53	9606.ENSP00000478255	9606.ENSP00000269305	0	0	0	0	0	0	0	0.617	0.617
ABCB1	ERBB2	9606.ENSP00000478255	9606.ENSP00000269571	0	0	0	0	0.071	0	0	0.581	0.594
ABCB1	EGFR	9606.ENSP00000478255	9606.ENSP00000275493	0	0	0	0	0.071	0	0	0.607	0.619
ABCB1	ABCC3	9606.ENSP00000478255	9606.ENSP00000285238	0	0	0	0.584	0.234	0.076	0	0.453	0.579
ABCB1	KIT	9606.ENSP00000478255	9606.ENSP00000288135	0	0	0	0	0.094	0	0	0.419	0.451
ABCB1	ALB	9606.ENSP00000478255	9606.ENSP00000295897	0	0	0	0	0.074	0	0	0.553	0.569
ABCB1	MET	9606.ENSP00000478255	9606.ENSP00000317272	0	0	0	0	0.069	0.054	0	0.386	0.412
ABCB1	SOX2	9606.ENSP00000478255	9606.ENSP00000323588	0	0	0	0	0.067	0.052	0	0.454	0.475
ABCB1	CSF1	9606.ENSP00000478255	9606.ENSP00000327513	0	0	0	0	0.056	0	0	0.433	0.441
ABCB1	MTOR	9606.ENSP00000478255	9606.ENSP00000354558	0	0	0	0	0	0.072	0	0.459	0.476
ABCB1	PARP1	9606.ENSP00000478255	9606.ENSP00000355759	0	0	0	0	0	0	0	0.544	0.544
ABCB1	DPYD	9606.ENSP00000478255	9606.ENSP00000359211	0.057	0	0	0	0.045	0	0	0.510	0.520
ABCB1	XIAP	9606.ENSP00000478255	9606.ENSP00000360242	0	0	0	0	0.067	0.070	0	0.398	0.432
ABCB1	PTEN	9606.ENSP00000478255	9606.ENSP00000361021	0	0	0	0	0.061	0.053	0	0.505	0.521
ABCB1	ABL1	9606.ENSP00000478255	9606.ENSP00000361423	0	0	0	0	0.050	0.054	0	0.513	0.524
ABCB1	MTHFR	9606.ENSP00000478255	9606.ENSP00000365770	0.041	0	0	0	0	0	0	0.545	0.545
ABCB1	ALK	9606.ENSP00000478255	9606.ENSP00000373700	0	0	0	0	0.082	0.054	0	0.396	0.429
ABCB1	BCL2	9606.ENSP00000478255	9606.ENSP00000381185	0	0	0	0	0.049	0.166	0	0.622	0.674
ABCB1	ESR1	9606.ENSP00000478255	9606.ENSP00000405330	0	0	0	0	0.045	0	0	0.526	0.528
ABCB1	TOP2A	9606.ENSP00000478255	9606.ENSP00000411532	0	0	0	0	0	0.071	0	0.398	0.417
ABCB1	BRCA1	9606.ENSP00000478255	9606.ENSP00000418960	0	0	0	0	0	0	0	0.470	0.470
ABCB1	BRAF	9606.ENSP00000478255	9606.ENSP00000419060	0	0	0	0	0.050	0.054	0	0.421	0.435
ABCB1	HIF1A	9606.ENSP00000478255	9606.ENSP00000437955	0	0	0	0	0.061	0	0	0.527	0.536
ABCB1	NOTCH1	9606.ENSP00000478255	9606.ENSP00000498587	0	0	0	0	0.067	0.071	0	0.383	0.419
ABCB1	CTNNB1	9606.ENSP00000478255	9606.ENSP00000495360	0	0	0	0	0.046	0.047	0	0.577	0.581
ABCB1	ACTB	9606.ENSP00000478255	9606.ENSP00000494750	0	0	0	0	0.067	0.051	0	0.588	0.603
ABCC3	NQO1	9606.ENSP00000285238	9606.ENSP00000319788	0	0	0	0	0.089	0	0	0.391	0.421
ABCC3	TPR	9606.ENSP00000285238	9606.ENSP00000356448	0	0	0	0	0	0.071	0	0.479	0.495
ABCC3	NUP93	9606.ENSP00000285238	9606.ENSP00000310668	0	0	0	0	0	0.069	0	0.683	0.692
ABL1	NFKBIA	9606.ENSP00000361423	9606.ENSP00000216797	0	0	0	0	0.086	0.331	0	0.351	0.569
ABL1	PAG1	9606.ENSP00000361423	9606.ENSP00000220597	0	0	0	0	0.082	0.323	0	0.185	0.449
ABL1	RPS6KB1	9606.ENSP00000361423	9606.ENSP00000225577	0	0	0	0.577	0	0.278	0	0.476	0.606
ABL1	DDX5	9606.ENSP00000361423	9606.ENSP00000225792	0	0	0	0	0.042	0.156	0	0.389	0.463
ABL1	MLH1	9606.ENSP00000361423	9606.ENSP00000231790	0	0	0	0	0.042	0	0	0.480	0.481
ABL1	CRBN	9606.ENSP00000361423	9606.ENSP00000231948	0	0	0	0	0	0	0	0.419	0.418
