source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:2000377,regulation of reactive oxygen species metabolic process,8.328805958151169e-06,True,"""Any process that modulates the frequency, rate or extent of reactive oxygen species metabolic process."" [GOC:mah]",144,5,4,21026,0.8,0.027777777777777776,query_1,"['GO:0019222', 'GO:0072593']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IMP', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IMP']]"
GO:BP,GO:0060251,regulation of glial cell proliferation,4.311457033952351e-05,True,"""Any process that modulates the frequency, rate or extent of glial cell proliferation."" [GOC:dph, GOC:tb]",38,5,3,21026,0.6,0.07894736842105263,query_1,"['GO:0014009', 'GO:0042127']","['TP53', 'EGFR', 'TNF']","[['IEA'], ['IEA'], ['IDA', 'IGI']]"
GO:BP,GO:0045930,negative regulation of mitotic cell cycle,5.024781310005212e-05,True,"""Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",225,5,4,21026,0.8,0.017777777777777778,query_1,"['GO:0000278', 'GO:0007346', 'GO:0045786']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IMP', 'IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:0072593,reactive oxygen species metabolic process,5.585202455937137e-05,True,"""The chemical reactions and pathways involving a reactive oxygen species, any molecules or ions formed by the incomplete one-electron reduction of oxygen. They contribute to the microbicidal activity of phagocytes, regulation of signal transduction and gene expression, and the oxidative damage to biopolymers."" [GOC:mah]",231,5,4,21026,0.8,0.017316017316017316,query_1,['GO:0008152'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IMP', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IMP']]"
GO:BP,GO:1902895,positive regulation of miRNA transcription,0.0001493386336737776,True,"""Any process that activates or increases the frequency, rate or extent of microRNA (miRNA) gene transcription."" [GO_REF:0000058, GOC:dph, GOC:kmv, GOC:TermGenie, PMID:24699545]",57,5,3,21026,0.6,0.05263157894736842,query_1,"['GO:0045893', 'GO:0061614', 'GO:1902893', 'GO:2000630']","['TP53', 'EGFR', 'TNF']","[['IDA', 'IMP', 'IGI'], ['IMP'], ['IDA']]"
GO:BP,GO:0014009,glial cell proliferation,0.00015747312051449908,True,"""The multiplication or reproduction of glial cells by cell division, resulting in the expansion of their population. Glial cells exist throughout the nervous system, and include Schwann cells, astrocytes, and oligodendrocytes among others."" [GOC:ef, ISBN:0878932585]",58,5,3,21026,0.6,0.05172413793103448,query_1,"['GO:0008283', 'GO:0042063']","['TP53', 'EGFR', 'TNF']","[['IEA'], ['IEA'], ['IDA', 'IGI']]"
GO:BP,GO:2000630,positive regulation of miRNA metabolic process,0.00022280867726105769,True,"""Any process that activates or increases the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]",65,5,3,21026,0.6,0.046153846153846156,query_1,"['GO:0010586', 'GO:0051254', 'GO:2000628']","['TP53', 'EGFR', 'TNF']","[['IDA', 'IMP', 'IGI'], ['IMP'], ['IDA']]"
GO:BP,GO:0104004,cellular response to environmental stimulus,0.0002601417837902842,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."" [GOC:dos]",339,5,4,21026,0.8,0.011799410029498525,query_1,['GO:0051716'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:0071214,cellular response to abiotic stimulus,0.0002601417837902842,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."" [GOC:mah]",339,5,4,21026,0.8,0.011799410029498525,query_1,"['GO:0009628', 'GO:0104004']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:0071479,cellular response to ionizing radiation,0.00030406729991020175,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [GOC:mah]",72,5,3,21026,0.6,0.041666666666666664,query_1,"['GO:0010212', 'GO:0071478']","['TP53', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:1902893,regulation of miRNA transcription,0.0003583134936408024,True,"""Any process that modulates the frequency, rate or extent of microRNA (miRNA) gene transcription."" [GO_REF:0000058, GOC:dph, GOC:kmv, GOC:TermGenie, PMID:24699545]",76,5,3,21026,0.6,0.039473684210526314,query_1,"['GO:0006355', 'GO:0061614', 'GO:2000628']","['TP53', 'EGFR', 'TNF']","[['IDA', 'IMP', 'IGI'], ['IMP'], ['IDA', 'NAS']]"
GO:BP,GO:0061614,miRNA transcription,0.00037281304927836524,True,"""The cellular synthesis of microRNA (miRNA) transcripts. MicroRNA genes are synthesized as primary (pri) miRNA transcripts and subsequently processed to produce the ~22nt miRNAs that function in gene regulation."" [GOC:dph, GOC:kmv, PMID:18778799]",77,5,3,21026,0.6,0.03896103896103896,query_1,"['GO:0006351', 'GO:0010586']","['TP53', 'EGFR', 'TNF']","[['IDA', 'IMP', 'IGI'], ['IMP'], ['IDA', 'NAS']]"
GO:BP,GO:0045786,negative regulation of cell cycle,0.00039803383490113456,True,"""Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",377,5,4,21026,0.8,0.010610079575596816,query_1,"['GO:0007049', 'GO:0048523', 'GO:0051726']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:2000628,regulation of miRNA metabolic process,0.0005981867516202384,True,"""Any process that modulates the frequency, rate or extent of miRNA metabolic process."" [GOC:dph]",90,5,3,21026,0.6,0.03333333333333333,query_1,"['GO:0010586', 'GO:0051252']","['TP53', 'EGFR', 'TNF']","[['IDA', 'IMP', 'IGI'], ['IMP'], ['IDA', 'NAS']]"
GO:BP,GO:0009314,response to radiation,0.0007185016320380329,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]",437,5,4,21026,0.8,0.009153318077803204,query_1,['GO:0009628'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'ISS', 'IEA'], ['IDA'], ['IDA'], ['IMP']]"
GO:BP,GO:0071346,cellular response to type II interferon,0.0008227578668081369,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-gamma stimulus. Interferon gamma is the only member of the type II interferon found so far."" [GOC:mah]",100,5,3,21026,0.6,0.03,query_1,"['GO:0034341', 'GO:0071345']","['TP53', 'TNF', 'GAPDH']","[['IEA'], ['IEA'], ['IDA']]"
GO:BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,0.0009534878930923414,True,"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]",105,5,3,21026,0.6,0.02857142857142857,query_1,"['GO:0006974', 'GO:0097193']","['TP53', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA']]"
GO:BP,GO:0010586,miRNA metabolic process,0.0009811891333241448,True,"""The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression."" [PMID:17993620]",106,5,3,21026,0.6,0.02830188679245283,query_1,['GO:0016070'],"['TP53', 'EGFR', 'TNF']","[['IDA', 'IMP', 'IGI'], ['IMP'], ['IDA', 'NAS']]"
GO:BP,GO:0014013,regulation of gliogenesis,0.0009811891333241448,True,"""Any process that modulates the frequency, rate or extent of gliogenesis, the formation of mature glia."" [GOC:ef]",106,5,3,21026,0.6,0.02830188679245283,query_1,"['GO:0042063', 'GO:0050767']","['TP53', 'EGFR', 'TNF']","[['IEA'], ['IEA'], ['IDA', 'IGI']]"
GO:BP,GO:0007346,regulation of mitotic cell cycle,0.0011537379230357296,True,"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",492,5,4,21026,0.8,0.008130081300813009,query_1,"['GO:0000278', 'GO:0051726']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:0051052,regulation of DNA metabolic process,0.0012304874106920168,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",500,5,4,21026,0.8,0.008,query_1,"['GO:0006259', 'GO:0019219', 'GO:0060255']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IEA'], ['IDA'], ['IEA'], ['IMP', 'NAS']]"
GO:BP,GO:0034341,response to type II interferon,0.0015372545438127984,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-gamma stimulus. Interferon-gamma is also known as type II interferon."" [GOC:add, ISBN:0126896631, PMID:15546383]",123,5,3,21026,0.6,0.024390243902439025,query_1,"['GO:0034097', 'GO:0045087']","['TP53', 'TNF', 'GAPDH']","[['IEA'], ['IEA'], ['IDA']]"
GO:BP,GO:0010212,response to ionizing radiation,0.0023200494299513365,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]",141,5,3,21026,0.6,0.02127659574468085,query_1,['GO:0009314'],"['TP53', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IDA'], ['IMP']]"
KEGG,KEGG:05224,Breast cancer,0.0024357458830539195,True,Breast cancer,147,5,3,8484,0.6,0.02040816326530612,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'BRCA1']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:MF,GO:0042802,identical protein binding,0.002931388800605741,True,"""Binding to an identical protein or proteins."" [GOC:jl]",2182,5,5,20246,1.0,0.00229147571035747,query_1,['GO:0005515'],"['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IPI'], ['IPI'], ['IDA', 'IPI'], ['IPI'], ['IPI']]"
KEGG,KEGG:05160,Hepatitis C,0.0030228709385299846,True,Hepatitis C,158,5,3,8484,0.6,0.0189873417721519,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'TNF']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:MF,GO:0097718,disordered domain specific binding,0.0039995688341174,True,"""Binding to a disordered domain of a protein."" [GOC:gg, PMID:11746698]",29,5,2,20246,0.4,0.06896551724137931,query_1,['GO:0019904'],"['TP53', 'GAPDH']","[['IPI'], ['IPI']]"
