preferredName_A	preferredName_B	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	score
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.400	0.511	0.729
ABL1	TCF3	9606.ENSP00000361423	9606.ENSP00000262965	0	0	0	0	0.108	0	0.500	0.658	0.834
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.049	0.736	0.900	0.312	0.980
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.591	0.049	0.615	0	0.325	0.731
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0.145	0.910
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0.774	0.988
ABL1	STAT5B	9606.ENSP00000361423	9606.ENSP00000293328	0	0	0	0	0.065	0.439	0.900	0.727	0.983
ABL1	TLX3	9606.ENSP00000361423	9606.ENSP00000296921	0	0	0	0	0	0.048	0	0.738	0.739
ABL1	NPM1	9606.ENSP00000361423	9606.ENSP00000296930	0	0	0	0	0.064	0	0	0.697	0.704
ABL1	BCR	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0.083	0.737	0.900	0.869	0.996
ABL1	MRE11	9606.ENSP00000361423	9606.ENSP00000325863	0	0	0	0	0	0.045	0.500	0.483	0.731
ABL1	IKZF1	9606.ENSP00000361423	9606.ENSP00000331614	0	0	0	0	0	0.071	0	0.841	0.845
ABL1	EPHA3	9606.ENSP00000361423	9606.ENSP00000337451	0	0	0	0.616	0.074	0.292	0.900	0.441	0.958
